,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
53,Visit the OnePlus Store,"Oneplus Bullets Wireless Z Bass Edition Bluetooth in Ear Earphones with mic, Launched in April 2021 (Black)","1,999",7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/OnePlus-Bullets-Wireless-Bass-Black/dp/B092ZJVB6Z/ref=sr_1_37?keywords=earphones&qid=1653389855&sr=8-37
54,Visit the Boult Audio Store,"Boult Audio Zcharge Bluetooth Wireless in Ear Earphones with Mic, 40H Playtime and Super Fast Charging, Environmental Noise Cancellation for Pro+ Calling and Ipx5 Water Resistant (Black)",-,7 Days Replacement,"Friday, May 27",,https://www.amazon.in/Boult-Audio-Bluetooth-Environmental-Cancellation/dp/B09NR6G588/ref=sr_1_38_sspa?keywords=earphones&qid=1653389855&smid=A14CZOWI0VEHLG&sr=8-38-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyS1JWSE1ENUdOREU4JmVuY3J5cHRlZElkPUEwMDgxMDg1MlVRSzlUVUdZMFIzWiZlbmNyeXB0ZWRBZElkPUEwNDU5OTI3MTVPNzJGU0wwMUlHWCZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
55,Brand: Boult Audio,"Boult Audio AirBass PowerBuds TWS Earbuds with 120 Hours Total Playtime, Inbuilt Powerbank, Type-C Fast Charging and IPX7 Fully Waterproof (Black)",-,7 Days Replacement,"Friday, May 27",,https://www.amazon.in/Boult-Audio-PowerBuds-Wireless-Waterproof/dp/B08D11DZ2W/ref=sr_1_39_sspa?keywords=earphones&qid=1653389855&smid=A14CZOWI0VEHLG&sr=8-39-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyS1JWSE1ENUdOREU4JmVuY3J5cHRlZElkPUEwMDgxMDg1MlVRSzlUVUdZMFIzWiZlbmNyeXB0ZWRBZElkPUEwMDgyMTQ3M0Y5UFBHSklDT1lQSSZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
56,Brand: realme,realme Buds 2 Neo Wired in Ear Earphones with Mic (Black),-,-,-,-,https://www.amazon.in/realme-Buds-Wired-Earphones-Black/dp/B097KM3Z16/ref=sr_1_40?keywords=earphones&qid=1653389855&sr=8-40
57,Visit the boAt Store,"Boat Rockerz 255 Pro+ Upto 40 Hours Playback, ASAP Charge, Ipx7, Dual Pairing and V5.0 Bluetooth Wireless in Ear Earphones with Mic (Active Black)","1,305",7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8/ref=sr_1_41?keywords=earphones&qid=1653389855&sr=8-41
58,Visit the OnePlus Store,"Oneplus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life, Launched in April 2022 (Magico Black)","1,999",7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Oneplus-Bluetooth-Wireless-Earphones-Bombastic/dp/B09TVVGXWS/ref=sr_1_42?keywords=earphones&qid=1653389855&sr=8-42
59,Visit the Portronics Store,"Portronics Conch 120 in Ear Type C Wired Earphone with Mic, 1.2M Tangle Resistant Cable(Red)",579,-,"Monday, May 30",In stock.,https://www.amazon.in/Portronics-Conch-Earphone-Tangle-Resistant/dp/B09SHTJ7MF/ref=sr_1_43?keywords=earphones&qid=1653389855&sr=8-43
60,Brand: Oppo,"OPPO Enco M32 Bluetooth Wireless in Ear Earbuds with Mic,10 Mins Charge - 20Hrs Music Fast Charge, 28Hrs Battery Life,10mm Driver, IP55 Dust & Water Resistant (Black)","1,799",7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/OPPO-Bluetooth-Wireless-Earbuds-Charge/dp/B09NMPRX6Y/ref=sr_1_44?keywords=earphones&qid=1653389855&sr=8-44
61,Visit the Samsung Store,"Samsung Original EHS64 Wired in Ear Earphones with Mic, Black",429,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Samsung-Original-EHS64AVFBECINU-Hands-Free-Remote/dp/B01F262EUU/ref=sr_1_45?keywords=earphones&qid=1653389855&sr=8-45
62,Brand: realme,realme Buds 2 Wired in Ear Earphones with Mic (Green),599,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Realme-Buds-Android-Smartphones-Green/dp/B08225158Y/ref=sr_1_46?keywords=earphones&qid=1653389855&sr=8-46
63,Visit the boAt Store,boAt Bassheads 100 in Ear Wired Earphones with Mic(White),349,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/boAt-BassHeads-100-Headphones-White/dp/B07234XXJF/ref=sr_1_47?keywords=earphones&qid=1653389855&sr=8-47
64,Visit the PTron Store,"PTron Boom Ultima V2 Dual Driver, in-Ear Gaming Wired Headphones with in-line Mic, Volume Control, Passive Noise Cancelling Boom 3 Earphones with 3.5mm Audio Jack & 1.2M Tangle-Free Cable (Black)",-,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/PTron-Boom-Ultima-V2-Tangle-free/dp/B08NKWXMGM/ref=sr_1_48_sspa?keywords=earphones&qid=1653389855&sr=8-48-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyS1JWSE1ENUdOREU4JmVuY3J5cHRlZElkPUEwMDgxMDg1MlVRSzlUVUdZMFIzWiZlbmNyeXB0ZWRBZElkPUEwMDIwMTg2RUJQVUxBQjFIVEk2JndpZGdldE5hbWU9c3BfYnRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
65,Visit the tunez Store,"tunez Dhwani D20 in Ear Wired Earphone with Boom Bass, in Built mic,10mm Dynamic Drivers with Passive Noise Isolation and 3.5mm Jack(White)",387,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/tunez-D20-Earphone-Dynamic-Isolation/dp/B09KGVF8S3/ref=sr_1_49_sspa?keywords=earphones&qid=1653389855&sr=8-49-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyS1JWSE1ENUdOREU4JmVuY3J5cHRlZElkPUEwMDgxMDg1MlVRSzlUVUdZMFIzWiZlbmNyeXB0ZWRBZElkPUEwMjM3MTM0MTE3VzZKVURCTk1GMCZ3aWRnZXROYW1lPXNwX2J0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
