,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
30,Visit the boAt Store,"Boat Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Upto 14 Hours Playback, Lightweight Earbuds, 8Mm Drivers, Led Indicators and Multifunction Controls with Mic (Active Black)","1,299",7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Airdopes-121v2-Bluetooth-Immersive-Assistant/dp/B08JQN8DGZ/ref=sr_1_20?keywords=earphones&qid=1653389846&sr=8-20
31,Brand: Boult Audio,Boult Audio BassBuds X1 in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Red),-,7 Days Replacement,"Friday, May 27",,https://www.amazon.in/Boult-Audio-BassBuds-X1-Earphones/dp/B07TFW1KML/ref=sr_1_21?keywords=earphones&qid=1653389846&smid=A14CZOWI0VEHLG&sr=8-21
32,Brand: Boult Audio,Boult Audio BassBuds Oak in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Brown),-,7 Days Replacement,"Friday, May 27",,https://www.amazon.in/Boult-Audio-BassBuds-Oak-Earphones/dp/B091JF2TFD/ref=sr_1_22_sspa?keywords=earphones&qid=1653389846&smid=A14CZOWI0VEHLG&sr=8-22-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyWElTWUdDUDFZOVNPJmVuY3J5cHRlZElkPUEwOTMxNTc2M0pPUVkzVklVMktIMyZlbmNyeXB0ZWRBZElkPUEwMTE3MDg4Mk9JOUk0UUVYN1FKUyZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
33,Brand: boAt,boAt Bassheads 242 in Ear Wired Earphones with Mic(Active Black),499,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Boat-Bassheads-242-Earphones-Resistance/dp/B07S9S86BF/ref=sr_1_23_sspa?keywords=earphones&qid=1653389846&sr=8-23-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyWElTWUdDUDFZOVNPJmVuY3J5cHRlZElkPUEwOTMxNTc2M0pPUVkzVklVMktIMyZlbmNyeXB0ZWRBZElkPUEwMTI4NTY4Mk5WMDFKTUo4WEFBRyZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
34,Visit the boAt Store,"Boat Airdopes 141 42H Playtime, Beast Mode Enx Tech, ASAP Charge, Iwp, Ipx4 Water Resistance, Smooth Touch Controls Bluetooth Truly Wireless in Ear Earbuds with Mic (Bold Black)","1,499",7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Airdopes-141-Playtime-Resistance-Bluetooth/dp/B09N3ZNHTY/ref=sr_1_24?keywords=earphones&qid=1653389846&sr=8-24
35,Visit the Blaupunkt Store,Blaupunkt EM01 in-Ear Wired Earphone with Mic and Deep Bass HD Sound Mobile Headset with Noise Isolation and with customised Extra Ear gels,299,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Blaupunkt-EM01-Wired-Headset-Black/dp/B07MFKYK9M/ref=sr_1_25?keywords=earphones&qid=1653389846&sr=8-25
36,Visit the boAt Store,"Boat Rockerz 245V2 Bluetooth Wireless in Ear Earphones with Upto 8 Hours Playback, 12Mm Drivers, Ipx5, Magnetic Eartips, Integrated Controls and Lightweight Design with Mic (Navy Blue)",999,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/boAt-Rockerz-245v2-Bluetooth-Resistance/dp/B097DTJRWZ/ref=sr_1_26?keywords=earphones&qid=1653389846&sr=8-26
37,Visit the PTron Store,"pTron Bassfest Plus Magnetic in Ear Bluetooth 5.0 Wireless Headphones with Mic, Stereo Sound with Bass, IPX4 Water & Sweat Resistant, Voice Assistance, Ergonomic & Lightweight- (Black & Blue)",-,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Bassfest-Plus-Headphones-Assistance-Lightweight/dp/B08HHLJ5FJ/ref=sr_1_27?keywords=earphones&qid=1653389846&sr=8-27
38,Visit the PTron Store,"pTron Boom Ultima 4D Dual Driver, In Ear Gaming Wired Headphones with Mic, Volume Control & Passive Noise Cancelling Boom 3 Earphones - (Dark Blue)",-,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Boom-Ultima-Headphones-Cancelling-Earphones/dp/B08D75R3Z1/ref=sr_1_28?keywords=earphones&qid=1653389846&sr=8-28
39,Visit the PTron Store,"PTron Boom Ultima V2 Dual Driver, in-Ear Gaming Wired Headphones with in-line Mic, Volume Control, Passive Noise Cancelling Boom 3 Earphones with 3.5mm Audio Jack & 1.2M Tangle-Free Cable (Black)",-,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/PTron-Boom-Ultima-V2-Tangle-free/dp/B08NKWXMGM/ref=sr_1_29?keywords=earphones&qid=1653389846&sr=8-29
40,Visit the OnePlus Store,"Oneplus Bullets Wireless Z Bass Edition Bluetooth in Ear Earphones with mic, Launched in October 2020 (Reverb Red)",-,-,-,-,https://www.amazon.in/OnePlus-Bullets-Wireless-Bass-Reverb/dp/B08HLTFB33/ref=sr_1_30?keywords=earphones&qid=1653389846&sr=8-30
41,Brand: BLAXSTOC,"BLAXSTOC Magnetic Wireless Bluetooth Headphones, Headset with Mic and Sound Button Earphone for Vivo,Oppo,Nokia,Samsung,REALME and Mi Note 5/6/7 Pro, 6A, Y2, A2, A1, Y3 All Smartphones",129,-,"Monday, May 30",In stock.,https://www.amazon.in/BLAXSTOC-Magnetic-Bluetooth-Headphones-Smartphones/dp/B09ZV89T57/ref=sr_1_31?keywords=earphones&qid=1653389846&sr=8-31
